brand,name,link,ingredients
Glossier,Balm Dotcom,https://www.glossier.com/products/balm-dotcom?variant=45954128773365,"LAVENDER INGREDIENTS: Petrolatum, Ricinus Communis (Castor) Seed Oil, Beeswax/Cera/Cire d'Abeille, Lanolin, Flavor/Aroma, Theobroma Grandiflorum Seed Butter, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopheryl Acetate, Tocopherol, BHT, Stevia Rebaudiana Leaf/Stem Extract, Linalool, Hydroxycitronellal, Geraniol, Titanium Dioxide (CI 77891), Red 7 Lake (CI 15850), Blue 1 Lake (CI 42090)."
Glossier,Full Orbit,https://www.glossier.com/products/full-orbit?variant=44181679898869,"Water/Aqua/Eau, Glycerin, Niacinamide, Pentaerythrityl Tetraisostearate, C13-15 Alkane, Propanediol, Sorbitan Olivate, Cetearyl Olivate, Butyrospermum Parkii¬ (Shea) Butter, C15-19 Alkane, Pentylene Glycol, Sodium Hyaluronate, Panthenol, Biotin, Jasminum Sambac (Jasmine) Flower Extract, Crataegus Monogyna Flower Extract, Carthamus Tinctorius (Safflower) Oleosomes, Plankton Extract, Sodium Polyglutamate, Hydroxyacetophenone, Maltodextrin, Cetyl Palmitate, Gluconolactone, Glyceryl Stearate, Glyceryl Undecylenate, Glyceryl Laurate, Ethylhexylglycerin, Isohexadecane, Xanthan Gum, Sclerotium Gum, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Alcohol, Tetrasodium Glutamate Diacetate, Sorbitan Palmitate, Sorbitan Isostearate, Polysorbate 60, Citric Acid, Sodium Hydroxide, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol."
Glossier,Priming Moisturizer,https://www.glossier.com/products/priming-moisturizer?variant=43781983142133,"Water/Aqua/Eau, Caprylic/Capric Triglyceride, Propanediol, Squalane, Behenyl Alcohol, Cetyl Alcohol, Glycerin, Sorbitan Stearate, Pseudozyma Epicola/Camellia Japonica Seed Oil Ferment Extract Filtrate, Sodium Hyaluronate Crosspolymer, Aloe Barbadensis Leaf Juice, Buddleja Officinalis Flower Extract, Poria Cocos Extract, Phragmites Communis Extract, Tocopheryl Acetate, Betaine, Sucrose Cocoate, Ethylhexylglycerin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Microcrystalline Cellulose, Cellulose Gum, Polysorbate 60, Sorbitan Isostearate, Trisodium Ethylenediamine Disuccinate, Potassium Sorbate, Sodium Benzoate, Pentylene Glycol, Citric Acid.


Please be aware that as we continue to evolve our product portfolio, ingredient lists may change or vary. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients, and reach out to gteam@glossier.com with any questions."
Glossier,Priming Moisturizer Rich,https://www.glossier.com/products/priming-moisturizer-rich?variant=43781983076597,"Water/Aqua/Eau, Caprylic/Capric Triglyceride, Propanediol, Glycerin, Squalane, Orbignya Oleifera Seed Oil, Cetearyl Olivate,Sorbitan Olivate, Pentaerythrityl Tetraisostearate, Pseudozyma Epicola/Camellia Japonica Seed Oil Ferment Extract Filtrate,Sodium Hyaluronate Crosspolymer, Ceramide NP, Ceramide AP, Buddleja Officinalis Flower Extract, Lithothamnion Calcareum Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Amylopectin, Acrylates/C10‐30 Alkyl Acrylate Crosspolymer, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl/Capryl Glucoside, Glyceryl Stearate, Caprylyl Glycol, Cetearyl Alcohol, Pentylene Glycol, Sorbitan Isostearate, Xanthan Gum, 1,2‐Hexanediol, Hydroxyacetophenone, Polyisobutene, Polysorbate 60, Lactic Acid, Potassium Sorbate, Sodium Benzoate, Potassium Hydroxide


As we continue to evolve our product portfolio, ingredient lists may change or vary. Please refer to the ingredient list on the package, and reach out to gteam@glossier.com with any questions."
Glossier,Futuredew Solid,https://www.glossier.com/products/futuredew-solid?variant=45916121366773,"INGREDIENTS: Pentaerythrityl Tetraisostearate, Octyldodecanol, Polybutene, Diisostearyl Malate, Synthetic Wax, Squalane, Bis-Diglyceryl Polyacyladipate-2, VP/Hexadecene Copolymer, Sodium Hyaluronate, Tocopheryl Acetate, Crithmum Maritimum Extract, Undaria Pinnatifida Extract, Caprylic/Capric Triglyceride, Ricinus Communis (Castor) Seed Oil, Hydrogenated Castor Oil, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Silica, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491)."
Glossier,Futuredew,https://www.glossier.com/products/futuredew?variant=43781981995253,"Water/Aqua/Eau, Glycerin, Squalane, Isoamyl Laurate, Polyglyceryl-3 Polyricinoleate, Butylene Glycol, Simmondsia Chinensis (Jojoba) Seed Oil, Propanediol, Isohexadecane, 1,2-Hexanediol, Oenothera Biennis (Evening Primrose) Oil, Olive Oil Polyglyceryl-6 Esters, Vitis Vinifera (Grape) Seed Oil, Rosa Canina Fruit Oil, Polyglyceryl-6 Pentaoleate, Sodium Hyaluronate, Tocopheryl Acetate, Evodia Rutaecarpa Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Ricinus Communis (Castor) Seed Oil, Hydrogenated Castor Oil, Hydroxyacetophenone, Sodium Chloride, Disteardimonium Hectorite, Propylene Carbonate, Tin Oxide, Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).

Please be aware that as we continue to evolve our product portfolio, ingredient lists may change or vary. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients, and reach out to gteam@glossier.com with any questions."
Glossier,Milky Jelly Cleanser,https://www.glossier.com/products/milky-jelly-cleanser?variant=44415832752373,"Water/Aqua/Eau, Rosa Damascena Flower Water, Glycerin, Propanediol, Isohexadecane, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Sodium Hyaluronate, Panthenol, Allantoin, Symphytum Officinale Root Extract, Xylitylglucoside, Betaine, Anhydroxylitol, Xylitol, Ammonium Polyacryloyldimethyl Taurate, Ethylhexylglycerin, Polysorbate 80, Sorbitan Oleate, Benzoic Acid, Citric Acid, Sodium Hydroxide, Potassium Sorbate, Sodium Benzoate, Geraniol, Citronellol.


As we continue to evolve our product portfolio, ingredient lists may change or vary. Please refer to the ingredient list on the package, and reach out to gteam@glossier.com with any questions."
Glossier,After Baume,https://www.glossier.com/products/glossier-after-baume?variant=44416231604469,"Water/Aqua/Eau, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Orbignya Oleifera Seed Oil, Glycerin, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Theobroma Grandiflorum Seed Butter, Cetearyl Olivate, Glyceryl Stearate, Cetearyl Alcohol, 1,2-Hexanediol, Lactobacillus Ferment Lysate Filtrate, Sorbitan Olivate, Ethyl Linoleate, Inulin Lauryl Carbamate, Chlorella Vulgaris Extract, Leuconostoc/Radish Root Ferment Filtrate, Tocopherol, Arginine, Sclerotium Gum, Propanediol, Sorbitan Isostearate, Lactic Acid, Dimethicone, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyacetophenone."
Glossier,Invisible Shield SPF50,https://www.glossier.com/products/invisible-shield-spf50?variant=44784129736949,"Active Ingredients: Avobenzone 3%, Homosalate 7%, Octisalate 5%, Octocrylene 10%.
Inactive Ingredients: Isododecane, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Caprylic/Capric Triglyceride, Butyloctyl Salicylate, Polysilicone-22, Dimethicone Crosspolymer, Dicaprylyl Ether, Glycine Soja (Soybean) Oil, Carthamus Tinctorius (Safflower) Seed Oil, Polyglyceryl-3 Diisostearate, Oryza Sativa (Rice) Germ Extract, Oryza Sativa (Rice) Extract, Aloe Barbadensis Leaf Juice, Bisabolol, Tocopherol, Zingiber Officinale (Ginger) Root Extract.

Drug Facts: Purpose: Sunscreen. Use: Helps
prevent sunburn. Warnings: For external
use only. Do not use on damaged or broken
skin. When using this product keep out of
eyes. Rinse with water to remove. Stop use
and ask a doctor if rash occurs. Keep out
of reach of children. If swallowed, get
medical help or contact a Poison Control
Center right away. Directions: Apply
generously 15 minutes before sun exposure.
Reapply at least every 2 hours. Use a
water-resistant sunscreen if swimming or
sweating. Children under 6 months of age:
ask a doctor. Sun Protection Measures.
Spending time in the sun increases your
risk of skin cancer and early skin aging. To
decrease this risk, regularly use a sunscreen
with a Broad Spectrum SPF value of 15 or
higher and other sun protection measures
including: limit time in the sun, especially
from 10 a.m. - 2 p.m., wear long-sleeved
shirts, pants, hats, and sunglasses."
Glossier,Solution,https://www.glossier.com/products/solution?variant=44623477670133,"INGREDIENTS: Water/Aqua/Eau, Sodium Hydroxide, Lactic Acid, Glycolic Acid, Gluconolactone, Propanediol, Pentylene Glycol, Magnesium Chloride, Glycerin, Salicylic Acid, Niacinamide, Aloe Barbadensis Leaf Juice, Ethylhexylglycerin, Citric Acid, Phytic Acid, Polysorbate 20, Amylopectin, Polydextrose, Dextrin, Caprylyl Glycol."
